"Время","Товар","Количество завершенных сделок"
2025-04-14 03:00:00,Huge Tiedye Bunny,1
2025-04-14 03:00:00,Huge Toy Chest Mimic,4
2025-04-14 03:00:00,Huge UV Kitsune,1
2025-04-14 03:00:00,Huge Valentines Bear,1
2025-04-14 03:00:00,Huge Wizard Westie,3
2025-04-14 03:00:00,Hype Egg #2,3
2025-04-14 03:00:00,Rainbow Mini Chest,4
2025-04-14 03:00:00,Royalty Charm,1
2025-04-14 03:00:00,Sea Bear,1
2025-04-21 03:00:00,1 000 000 000 gems,2
2025-04-21 03:00:00,100 000 000 gems,11
2025-04-21 03:00:00,10 000 000 gems,10
2025-04-21 03:00:00,1 000 000 gems,16
2025-04-21 03:00:00,100 000 gems,1
2025-04-21 03:00:00,500 000 gems,3
2025-04-21 03:00:00,Chroma Darkbringer,1
2025-04-21 03:00:00,Chroma Gemstone,1
2025-04-21 03:00:00,Chroma Gingerblade,1
2025-04-21 03:00:00,Festive Skin Case,1
2025-04-21 03:00:00,Green Seer,1
2025-04-21 03:00:00,Hallowscythe,1
2025-04-21 03:00:00,Huge Anubis,1
2025-04-21 03:00:00,Huge Arcade Dog,2
2025-04-21 03:00:00,Huge Astronaut Cat,1
2025-04-21 03:00:00,Huge Bat,1
2025-04-21 03:00:00,Huge Blurred Axolotl,1
2025-04-21 03:00:00,Huge Capybara,1
2025-04-21 03:00:00,Huge Colorful Slime,1
2025-04-21 03:00:00,Huge Elephant,1
2025-04-21 03:00:00,Huge Empyrean Dragon,1
2025-04-21 03:00:00,Huge Fancy Axolotl,2
2025-04-21 03:00:00,Huge Gargoyle Dragon,1
2025-04-21 03:00:00,Huge Happy Computer,3
2025-04-21 03:00:00,Huge Happy Rock,5
2025-04-21 03:00:00,Huge Heartbreak Fairy,1
2025-04-21 03:00:00,Huge Helicopter Cat,1
2025-04-21 03:00:00,Huge Icy Phoenix,1
2025-04-21 03:00:00,Huge Mechatronic Robot,3
2025-04-21 03:00:00,Huge Mining Penguin,6
2025-04-21 03:00:00,Huge Nuclear Wild Dog,1
2025-04-21 03:00:00,Huge Prison Cat,2
2025-04-21 03:00:00,Huge Propeller Cat,1
2025-04-21 03:00:00,Huge Red Dragon,2
2025-04-21 03:00:00,Huge Red Wolf,1
2025-04-21 03:00:00,Huge Snow Elf,1
2025-04-21 03:00:00,Huge Sphinx,1
2025-04-21 03:00:00,Huge UV Kitsune,1
2025-04-21 03:00:00,Huge Valentine's Bear,1
2025-04-21 03:00:00,Huge Wizard Westie,2
2025-04-21 03:00:00,Hype Egg #2,1
2025-04-21 03:00:00,King Neptune,1
2025-04-21 03:00:00,Nessie,1
2025-04-21 03:00:00,Peppermint,1
2025-04-21 03:00:00,Phaser,1
2025-04-21 03:00:00,Rainbow Mini Chest,1
2025-04-21 03:00:00,Royalty Charm,1
2025-04-21 03:00:00,Secret Key,2
2025-04-21 03:00:00,Vampires Edge,1
2025-04-21 03:00:00,Winters Edge,1
2025-04-21 03:00:00,Xmas,1
2025-04-21 03:00:00,Yellow Seer,1
2025-04-28 03:00:00,1 000 000 000 gems,2
2025-04-28 03:00:00,100 000 000 gems,19
2025-04-28 03:00:00,10 000 000 gems,16
2025-04-28 03:00:00,1 000 000 gems,21
2025-04-28 03:00:00,100m gems,1
2025-04-28 03:00:00,Ancient Megalodon,1
2025-04-28 03:00:00,Chameleon,1
2025-04-28 03:00:00,Chroma Boneblade,1
2025-04-28 03:00:00,Chroma Heat,1
2025-04-28 03:00:00,Crowned Anglerfish,1
2025-04-28 03:00:00,Crystallized Seadragon,3
2025-04-28 03:00:00,Diamond Fishing Rod,1
2025-04-28 03:00:00,Diamond Shovel,1
2025-04-28 03:00:00,Exalted Relic,1
2025-04-28 03:00:00,Frozen Leviathan,1
2025-04-28 03:00:00,God Potion,1
2025-04-28 03:00:00,Golden Sea Pearl,1
2025-04-28 03:00:00,Huge 404 Demon,1
2025-04-28 03:00:00,Huge Bison,1
2025-04-28 03:00:00,Huge Classic Dog,1
2025-04-28 03:00:00,Huge Electric Penguin,1
2025-04-28 03:00:00,Huge Fluffy Cat,1
2025-04-28 03:00:00,Huge Gorgon,1
2025-04-28 03:00:00,Huge Guest Noob,1
2025-04-28 03:00:00,Huge Happy Computer,1
2025-04-28 03:00:00,Huge Happy Rock,2
2025-04-28 03:00:00,Huge Heartbreak Fairy,1
2025-04-28 03:00:00,Huge Hell Rock,1
2025-04-28 03:00:00,Huge Hunter,3
2025-04-28 03:00:00,Huge Inferno Cat,1
2025-04-28 03:00:00,Huge Inferno Dominus,1
2025-04-28 03:00:00,Huge Mining Penguin,1
2025-04-28 03:00:00,Huge Mosaic Griffin,1
2025-04-28 03:00:00,Huge Pufferfish,1
2025-04-28 03:00:00,Huge Punksky,2
2025-04-28 03:00:00,Huge Slimezilla,1
2025-04-28 03:00:00,Huge Snowflake Dominus,1
2025-04-28 03:00:00,Huge Toy Chest Mimic,1
2025-04-28 03:00:00,Huge UV Kitsune,1
2025-04-28 03:00:00,Huge Void Alien,1
2025-04-28 03:00:00,Huge Wizard Westie,1
2025-04-28 03:00:00,Hype Egg,1
2025-04-28 03:00:00,Lovestorm Eel,1
2025-04-28 03:00:00,Magma Leviathan,1
2025-04-28 03:00:00,Megalodon,1
2025-04-28 03:00:00,Nightmare,1
2025-04-28 03:00:00,Orca,1
2025-04-28 03:00:00,Overload Charm,1
2025-04-28 03:00:00,Royalty Charm,1
2025-04-28 03:00:00,Runic Pickaxe,1
2025-04-28 03:00:00,SpongeHenge,1
2025-04-28 03:00:00,The Kraken,1
2025-04-28 03:00:00,Titanic Icy Phoenix,1
2025-05-05 03:00:00,1 000 000 000 gems,6
2025-05-05 03:00:00,100 000 000 gems,24
2025-05-05 03:00:00,10 000 000 gems,12
2025-05-05 03:00:00,1 000 000 gems,7
2025-05-05 03:00:00,Band Geek Mr. Krabs,1
2025-05-05 03:00:00,Band Geek Mrs. Puff,1
2025-05-05 03:00:00,Candy,1
2025-05-05 03:00:00,Clan Voucher,1
2025-05-05 03:00:00,Exclusive Anime Egg,1
2025-05-05 03:00:00,Exclusive Raffle Ticket,1
2025-05-05 03:00:00,Fairy Bat Dragon,1
2025-05-05 03:00:00,Hash Slinging Slasher,1
2025-05-05 03:00:00,Huge Angry Yeti,1
2025-05-05 03:00:00,Huge Arcade Dog,1
2025-05-05 03:00:00,Huge Fluffy Cat,1
2025-05-05 03:00:00,Huge Happy Rock,1
2025-05-05 03:00:00,Huge Hell Rock,2
2025-05-05 03:00:00,Huge Kitsune Fox,1
2025-05-05 03:00:00,Huge Loveserker,1
2025-05-05 03:00:00,Huge Mining Monkey,1
2025-05-05 03:00:00,Huge Mining Penguin,3
2025-05-05 03:00:00,Huge Mr Krabs,1
2025-05-05 03:00:00,Huge Nuclear Wild Dog,2
2025-05-05 03:00:00,Huge Pineapple Cat,1
2025-05-05 03:00:00,Huge Poseidon Corgi,1
2025-05-05 03:00:00,Huge Red Wolf,2
2025-05-05 03:00:00,Huge Shadow Dominus,1
2025-05-05 03:00:00,Huge Wild Corrupt Agony,1
2025-05-05 03:00:00,Lava Dragon,1
2025-05-05 03:00:00,Marshmallow Kitsune,1
2025-05-05 03:00:00,Obsidian Pickaxe,1
2025-05-05 03:00:00,Rainbow Mini Chest,2
2025-05-05 03:00:00,Ram,1
2025-05-05 03:00:00,Royal Egg,1
2025-05-05 03:00:00,Royalty Charm,1
2025-05-05 03:00:00,Season Premium Pass,1
2025-05-05 03:00:00,Soaring starfish,1
2025-05-05 03:00:00,Wavelight Greatblade,1
2025-05-12 03:00:00,1 000 000 000 gems,4
2025-05-12 03:00:00,100 000 000 gems,16
2025-05-12 03:00:00,10 000 000 gems,12
2025-05-12 03:00:00,1 000 000 gems,4
2025-05-12 03:00:00,100m gems,1
2025-05-12 03:00:00,500m gems,2
2025-05-12 03:00:00,Abyssal Dragon,1
2025-05-12 03:00:00,Cerberus,1
2025-05-12 03:00:00,Dennis,1
2025-05-12 03:00:00,Dream Gary,1
2025-05-12 03:00:00,Eternal Frostwhale,1
2025-05-12 03:00:00,Huge Alien Octopus,1
2025-05-12 03:00:00,Huge Happy Rock,1
2025-05-12 03:00:00,Huge Hell Rock,2
2025-05-12 03:00:00,Huge Inferno Cat,1
2025-05-12 03:00:00,Huge Mining Penguin,2
2025-05-12 03:00:00,Moby,1
2025-05-12 03:00:00,Moon Egg,1
2025-05-12 03:00:00,Octophant,1
2025-05-12 03:00:00,Phantom Megalodon,1
2025-05-12 03:00:00,Rainbow Shock,1
2025-05-12 03:00:00,Scylla,1
2025-05-12 03:00:00,Titanic Anime Cat,1
